ID,LEARNING CENTER,BRANCH SCHOOL,TUTOR,HEAD TEACHER,ONLINE,OFFLINE
767,Anu Vocational Junior College,BANKERS ADD,3,1,1,2
768,Akshara High School,TALENTSPRINT PVT. LTD,2,2,4,6
769,Sri Padmavathi Women's Junior College ,MAHENDRA EDUCATIONAL PVT LTD,2,2,3,6
770,Akshara High School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,2,4
771,Accord School,C L CAREER LAUNCHER,4,2,1,6
772,Anu Vocational Junior College,ANALYST IAS ACADEMY,3,4,3,2
773,SDHR Junior & Degree & Pg College ,BHARATH DEFENCE COACHING CENTRE,3,3,4,6
774,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,3,2,2,2
775,S V Defence Academy,KSRM COACHING CENTER,4,1,3,4
776,Narayana Junior College,MAHENDRA EDUCATIONAL PVT LTD,2,3,4,6
777,S V Defence Academy,TALENTSPRINT PVT. LTD,2,4,2,4
778,Accord School,Sheker'S IAS Study Circle,1,2,3,3
779,Akshara High School,VIVEK COACHING CENTRE,2,4,1,5
780,Anjali Junior College,VIVEK COACHING CENTRE,3,3,4,4
781,Arunodaya High School,MY CAREER POINT,3,4,4,4
782,Anu Vocational Junior College,PANDITHA SUDHA COACHING CENTRE,1,4,1,2
783,Accord School,MY CAREER POINT,3,2,2,1
784,Nri Academy,BANKERS ADD,1,2,5,2
785,Alpha Gamma Sigma Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,4,3,4
786,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,KSRM COACHING CENTER,3,3,1,3
787,Accord School,SAIMEDHA GATE COACHING CENTER,3,4,3,3
788,Alpha Gamma Sigma Junior College,BANKERS ADD,4,1,4,1
789,Sri Padmavathi Women's Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,3,3,1,2
790,Akshra English Medium School,SAIMEDHA GATE COACHING CENTER,2,4,2,3
791,Academic Heights Public School - AHPS,SAIMEDHA EDUCATIONAL INSTITUTE,4,1,2,5
792,Anu Vocational Junior College,TALENTSPRINT PVT. LTD,4,2,4,6
793,S V Defence Academy,JB INSTITUTE FOR COMPETITVE EXAMS,1,1,5,3
794,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CAREER LAUNCHER,1,3,4,3
795,Anu Vocational Junior College,SRI VISWAM COACHING CENTRE,2,4,1,6
796,Academic Heights Public School - AHPS,SAIMEDHA GATE COACHING CENTER,3,3,4,3
797,Alpha Gamma Sigma Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,4,3,1
798,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,GURU SAI COACHING CENTER,3,2,5,4
799,Academic Heights Public School - AHPS,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,4,1,2
800,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,GURU SAI COACHING CENTER,4,4,3,3
801,Narayana Junior College,EMINENT COACHING CENTRE,4,3,5,6
802,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,2,3,3,4
803,Anu Vocational Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,4,2,2,3
804,Akshara High School,SKILL WORLD COMPUTERS,2,4,3,5
805,SDHR Junior & Degree & Pg College ,Sheker'S IAS Study Circle,4,2,1,2
806,SDHR Junior & Degree & Pg College ,ROLLER SPORTS COACHING CENTRE,4,4,4,4
807,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,4,1,2,2
808,Akshra English Medium School,SAIMEDHA GATE COACHING CENTER,1,4,1,3
809,Alpha Gamma Sigma Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,1,5,6
810,Alpha Gamma Sigma Junior College,POORNASAI COACHING,2,4,5,5
811,Narayana Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,3,1,4
812,Nri Academy,SRI VISWAM COACHING CENTRE,1,4,2,3
813,Sri Chaitanya Junior College ,ROLLER SPORTS COACHING CENTRE,3,2,2,6
814,Anu Vocational Junior College,SRI VISWAM COACHING CENTRE,4,3,2,4
815,Anjali Junior College,IGNITE ACADEMY,4,3,2,1
816,Alpha Gamma Sigma Junior College,POORNASAI COACHING,3,3,1,1
817,Narayana Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,3,4,4
818,Arunodaya High School,VIGNESH COACHING CENTRE,3,1,4,3
819,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SREEDHAR'S CCE,1,3,4,6
820,S V Defence Academy,VIGNESH COACHING CENTRE,3,2,2,2
821,Sri Padmavathi Women's Junior College ,TALENTSPRINT PVT. LTD,2,1,5,2
822,Ashwamedha Junior College & Neet Medical Academy ,IGNITE ACADEMY,2,2,1,1
823,Akshara High School,SREEDHAR'S CCE,4,3,3,6
824,Sri Chaitanya Junior College ,SKILL WORLD COMPUTERS,2,2,1,6
825,Academic Heights Public School - AHPS,ACADEMY OF MATHEMATICS AND STATISTICS,1,2,4,4
826,Anu Vocational Junior College,GURU SAI COACHING CENTER,1,1,1,6
827,Sri Chaitanya Junior College ,EMINENT COACHING CENTRE,3,4,3,2
828,Akshra English Medium School,SKILL WORLD COMPUTERS,3,2,1,5
829,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CAREER LAUNCHER,4,4,3,1
830,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,4,2,1
831,Akshara High School,PANDITHA SUDHA COACHING CENTRE,3,2,3,6
832,SDHR Junior & Degree & Pg College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,2,4,1
833,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,BHARATH DEFENCE COACHING CENTRE,2,2,3,4
834,Akshara High School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,1,1
835,Accord School,BANKERS ADD,4,3,1,1
836,Accord School,ACE ENGINEERING ACADEMY,3,1,4,1
837,Sri Padmavathi Women's Junior College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,3,5,3
838,Accord School,SREEDHAR'S CCE,4,2,4,1
839,Alpha Gamma Sigma Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,1,3,2,6
840,Akshara High School,SHINE IAS STUDY CIRCLE,3,1,1,6
841,Accord School,PANDITHA SUDHA COACHING CENTRE,2,4,4,4
842,Narayana Junior College,ANALYST IAS ACADEMY,1,2,4,2
843,Academic Heights Public School - AHPS,NIIT,3,3,1,1
844,Alpha Gamma Sigma Junior College,VIVEK COACHING CENTRE,4,3,2,1
845,Akshra English Medium School,SAIMEDHA GATE COACHING CENTER,4,4,4,1
846,Akshara High School,PANDITHA SUDHA COACHING CENTRE,4,4,4,3
847,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,2,3
848,Ashwamedha Junior College & Neet Medical Academy ,KSRM COACHING CENTER,1,1,5,3
849,Ashwamedha Junior College & Neet Medical Academy ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,3,4,6
850,Narayana Junior College,Sheker'S IAS Study Circle,2,2,4,1
851,Ashwamedha Junior College & Neet Medical Academy ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,3,4,4
852,Narayana Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,2,3,6
853,Sri Chaitanya Junior College ,NIIT,2,2,1,4
854,Anjali Junior College,SRI VISWAM COACHING CENTRE,4,3,5,3
855,Ashwamedha Junior College & Neet Medical Academy ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,1,2
856,Alpha Gamma Sigma Junior College,SRI KRISHNAVENI COACHING CENTRE,1,2,2,2
857,Narayana Junior College,BANKERS ADD,4,1,3,2
858,Alpha Gamma Sigma Junior College,ACE ENGINEERING ACADEMY,2,4,4,6
859,Anu Vocational Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,1,6
860,Arunodaya High School,ANALYST IAS ACADEMY,3,1,3,3
861,SDHR Junior & Degree & Pg College ,SREEDHAR'S CCE,1,2,1,1
862,Arunodaya High School,ACADEMY OF MATHEMATICS AND STATISTICS,4,1,5,6
863,Ashwamedha Junior College & Neet Medical Academy ,VIVEK COACHING CENTRE,4,1,3,2
864,Accord School,ROLLER SPORTS COACHING CENTRE,1,3,2,6
865,Anjali Junior College,IGNITE ACADEMY,2,4,1,1
866,Arunodaya High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,2,3,5
867,Sri Padmavathi Women's Junior College ,SHINE IAS STUDY CIRCLE,1,1,1,3
868,Academic Heights Public School - AHPS,BHARATH DEFENCE COACHING CENTRE,3,1,5,1
869,Nri Academy,Sheker'S IAS Study Circle,1,2,5,4
870,Sri Chaitanya Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,1,3,3
871,Ashwamedha Junior College & Neet Medical Academy ,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,1,1,1
872,Nri Academy,CAREER LAUNCHER,2,3,2,4
873,Narayana Junior College,SAIMEDHA GATE COACHING CENTER,4,1,4,4
874,S V Defence Academy,VIGNESH COACHING CENTRE,3,4,4,6
875,Accord School,PANDITHA SUDHA COACHING CENTRE,4,3,4,6
876,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,3,3,3,2
877,Sri Chaitanya Junior College ,ACADEMY OF MATHEMATICS AND STATISTICS,2,2,5,6
878,Arunodaya High School,SRI VISWAM COACHING CENTRE,2,2,3,3
879,Alpha Gamma Sigma Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,4,2,3,1
880,Academic Heights Public School - AHPS,C L CAREER LAUNCHER,3,2,2,6
881,Anu Vocational Junior College,KSRM COACHING CENTER,2,2,2,5
882,S V Defence Academy,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,1,6
883,Arunodaya High School,SAIMEDHA EDUCATIONAL INSTITUTE,2,4,2,4
884,Alpha Gamma Sigma Junior College,VIVEK COACHING CENTRE,3,4,5,1
885,Academic Heights Public School - AHPS,ANALYST IAS ACADEMY,1,4,2,2
886,Narayana Junior College,SKILL WORLD COMPUTERS,1,4,3,5
887,S V Defence Academy,BANKER'S ADDA,4,1,2,2
888,Accord School,NIIT,1,2,1,4
889,Accord School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,3,6
890,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,EMINENT COACHING CENTRE,3,4,2,6
891,Narayana Junior College,Sheker'S IAS Study Circle,2,4,5,4
892,Narayana Junior College,VIGNESH COACHING CENTRE,3,1,4,3
893,S V Defence Academy,ACADEMY OF MATHEMATICS AND STATISTICS,4,2,1,4
894,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,4,2,5,5
895,Akshara High School,SHINE IAS STUDY CIRCLE,4,3,5,5
896,Akshara High School,MAHENDRA EDUCATIONAL PVT LTD,3,4,5,3
897,Akshara High School,SAIMEDHA EDUCATIONAL INSTITUTE,4,3,3,3
898,Narayana Junior College,EMINENT COACHING CENTRE,4,2,3,1
899,SDHR Junior & Degree & Pg College ,SAIMEDHA EDUCATIONAL INSTITUTE,1,1,3,4
900,Ashwamedha Junior College & Neet Medical Academy ,ACADEMY OF MATHEMATICS AND STATISTICS,4,1,1,4
901,Arunodaya High School,DAMS SKY,3,1,2,1
902,Arunodaya High School,BANKER'S ADDA,3,1,1,2
903,Sri Chaitanya Junior College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,2,5,2
904,Akshra English Medium School,Sheker'S IAS Study Circle,2,1,3,5
905,Accord School,SRI KRISHNAVENI COACHING CENTRE,3,3,2,4
906,Sri Padmavathi Women's Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,2,6
907,Akshra English Medium School,GURU SAI COACHING CENTER,3,3,3,1
908,Anu Vocational Junior College,VIGNESH COACHING CENTRE,1,1,1,6
909,Anu Vocational Junior College,TALENTSPRINT PVT. LTD,3,4,5,6
910,Sri Padmavathi Women's Junior College ,SAIMEDHA GATE COACHING CENTER,1,4,5,6
911,Accord School,MY CAREER POINT,4,1,4,4
912,Anjali Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,2,3,6
913,Anjali Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,1,5,1
914,Sri Chaitanya Junior College ,TALENTSPRINT PVT. LTD,1,1,1,4
915,Nri Academy,SRI KRISHNAVENI COACHING CENTRE,2,4,5,4
916,Sri Chaitanya Junior College ,GURU SAI COACHING CENTER,3,4,5,3
917,Anjali Junior College,MAHENDRA EDUCATIONAL PVT LTD,2,3,4,5
918,Anu Vocational Junior College,MY CAREER POINT,4,2,1,4
919,Ashwamedha Junior College & Neet Medical Academy ,BHARATH DEFENCE COACHING CENTRE,1,3,5,1
920,Akshara High School,SRI KRISHNAVENI COACHING CENTRE,4,2,1,6
921,S V Defence Academy,ACE ENGINEERING ACADEMY,3,3,3,1
922,Nri Academy,ACADEMY OF MATHEMATICS AND STATISTICS,4,2,5,4
923,Sri Padmavathi Women's Junior College ,NIIT,2,3,3,1
924,Alpha Gamma Sigma Junior College,MAHENDRA EDUCATIONAL PVT LTD,3,4,2,5
925,Nri Academy,PANDITHA SUDHA COACHING CENTRE,3,4,3,6
926,Akshra English Medium School,ACADEMY OF MATHEMATICS AND STATISTICS,2,4,3,3
927,Narayana Junior College,KSRM COACHING CENTER,1,2,5,6
928,Academic Heights Public School - AHPS,BANKERS ADD,1,1,2,6
929,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,1,3,5,4
930,SDHR Junior & Degree & Pg College ,TALENTSPRINT PVT. LTD,2,1,5,4
931,Sri Chaitanya Junior College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,2,5,5
932,Akshra English Medium School,EMINENT COACHING CENTRE,2,2,2,5
933,Academic Heights Public School - AHPS,ELITE POLYTECHNIC & APRJC COACHING CENTRE,1,4,5,1
934,Sri Chaitanya Junior College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,2,5,4
935,Narayana Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,2,4,3
936,SDHR Junior & Degree & Pg College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,1,2
937,Sri Chaitanya Junior College ,TALENTSPRINT PVT. LTD,3,3,4,4
938,Alpha Gamma Sigma Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,1,3,1
939,Akshara High School,MY CAREER POINT,3,2,5,6
940,Anu Vocational Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,3,2,5
941,Sri Padmavathi Women's Junior College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,4,1,1
942,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CAREER LAUNCHER,4,1,2,5
943,Nri Academy,SRI KRISHNAVENI COACHING CENTRE,3,1,1,5
944,Sri Padmavathi Women's Junior College ,GURU SAI COACHING CENTER,3,4,3,3
945,Accord School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,2,2,6
946,SDHR Junior & Degree & Pg College ,Sheker'S IAS Study Circle,2,2,4,3
947,Nri Academy,VIGNESH COACHING CENTRE,2,2,1,1
948,Accord School,VIGNESH COACHING CENTRE,1,1,4,1
949,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,3,1,2,6
950,S V Defence Academy,SAIMEDHA GATE COACHING CENTER,2,4,3,3
951,Akshra English Medium School,SKILL WORLD COMPUTERS,2,4,3,2
952,Academic Heights Public School - AHPS,GURU SAI COACHING CENTER,4,3,5,1
953,Arunodaya High School,EMINENT COACHING CENTRE,2,3,4,1
954,Nri Academy,MAHENDRA EDUCATIONAL PVT LTD,1,2,3,2
955,Anjali Junior College,C L CAREER LAUNCHER,4,3,3,5
956,Akshara High School,ROLLER SPORTS COACHING CENTRE,1,3,3,6
957,Akshara High School,ACE ENGINEERING ACADEMY,4,3,3,3
958,Academic Heights Public School - AHPS,SAIMEDHA GATE COACHING CENTER,3,1,5,2
959,Alpha Gamma Sigma Junior College,GURU SAI COACHING CENTER,1,3,3,4
960,SDHR Junior & Degree & Pg College ,BANKERS ADD,1,3,2,5
961,Anjali Junior College,KSRM COACHING CENTER,2,3,3,1
962,Sri Padmavathi Women's Junior College ,ROLLER SPORTS COACHING CENTRE,1,1,1,4
963,Anu Vocational Junior College,KARTHIK INSTITUTE OF POLICE COACHING,3,4,2,6
964,S V Defence Academy,SKILL WORLD COMPUTERS,3,2,4,4
965,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SAIMEDHA GATE COACHING CENTER,2,2,4,4
966,Sri Padmavathi Women's Junior College ,SKILL WORLD COMPUTERS,1,2,3,1
967,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,1,2,5,6
968,Narayana Junior College,MY CAREER POINT,1,4,4,4
969,Ashwamedha Junior College & Neet Medical Academy ,SREEDHAR'S CCE,1,4,4,5
970,Akshara High School,DAMS SKY,3,4,4,6
971,Ashwamedha Junior College & Neet Medical Academy ,DAMS SKY,3,4,5,5
972,Nri Academy,PANDITHA SUDHA COACHING CENTRE,4,1,4,3
973,Sri Padmavathi Women's Junior College ,POORNASAI COACHING,1,2,1,4
974,Ashwamedha Junior College & Neet Medical Academy ,ACE ENGINEERING ACADEMY,4,2,3,4
975,Akshara High School,VIGNESH COACHING CENTRE,3,1,2,6
976,SDHR Junior & Degree & Pg College ,BANKERS ADD,3,3,4,5
977,Narayana Junior College,BANKER'S ADDA,2,3,1,4
978,Sri Chaitanya Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,3,2,3
979,Ashwamedha Junior College & Neet Medical Academy ,DAMS SKY,1,2,4,2
980,Akshra English Medium School,PANDITHA SUDHA COACHING CENTRE,3,1,1,2
981,Akshra English Medium School,VIGNESH COACHING CENTRE,2,3,5,2
982,Akshra English Medium School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,1,5,2
983,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MAHENDRA EDUCATIONAL PVT LTD,1,1,3,3
984,Akshara High School,TALENTSPRINT PVT. LTD,1,3,1,4
985,Narayana Junior College,ANALYST IAS ACADEMY,2,3,5,1
986,Akshara High School,IGNITE ACADEMY,1,4,4,6
987,Sri Chaitanya Junior College ,ANALYST IAS ACADEMY,3,4,2,6
988,Anjali Junior College,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,2,1,6
989,Alpha Gamma Sigma Junior College,IGNITE ACADEMY,4,4,5,4
990,Akshara High School,BANKERS ADD,1,4,4,2
991,Arunodaya High School,BHARATH DEFENCE COACHING CENTRE,1,3,2,2
992,Alpha Gamma Sigma Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,2,4,4
993,Narayana Junior College,ROLLER SPORTS COACHING CENTRE,4,4,5,2
994,Accord School,JB INSTITUTE FOR COMPETITVE EXAMS,3,2,4,2
995,Sri Chaitanya Junior College ,ACADEMY OF MATHEMATICS AND STATISTICS,2,3,3,3
996,Narayana Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,1,5,4
997,SDHR Junior & Degree & Pg College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,2,1,4
998,Anu Vocational Junior College,EMINENT COACHING CENTRE,3,3,5,5
999,Anu Vocational Junior College,IGNITE ACADEMY,4,4,2,2
1000,Anjali Junior College,Sheker'S IAS Study Circle,3,2,1,6
1001,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,2,3,5,4
1002,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,NIIT,4,1,4,4
1003,Accord School,SRI VISWAM COACHING CENTRE,4,1,2,4
1004,S V Defence Academy,CAREER LAUNCHER,4,1,1,1
1005,Narayana Junior College,BANKERS ADD,1,2,1,6
1006,Accord School,ACE ENGINEERING ACADEMY,3,1,3,2
1007,Alpha Gamma Sigma Junior College,DAMS SKY,4,4,4,3
1008,Alpha Gamma Sigma Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,2,5,5
1009,Accord School,MY CAREER POINT,2,3,4,5
1010,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SREEDHAR'S CCE,3,4,1,1
1011,Anu Vocational Junior College,C L CAREER LAUNCHER,3,2,4,5
1012,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,NIIT,3,2,3,6
1013,S V Defence Academy,ANALYST IAS ACADEMY,2,2,3,5
1014,Academic Heights Public School - AHPS,Sheker'S IAS Study Circle,1,4,2,2
1015,Nri Academy,TALENTSPRINT PVT. LTD,2,2,5,1
1016,Sri Chaitanya Junior College ,MAHENDRA EDUCATIONAL PVT LTD,1,2,4,6
1017,Alpha Gamma Sigma Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,2,1,4,4
1018,Academic Heights Public School - AHPS,CAREER LAUNCHER,2,3,1,3
1019,Sri Padmavathi Women's Junior College ,VIVEK COACHING CENTRE,3,2,1,2
1020,Arunodaya High School,VIVEK COACHING CENTRE,4,2,3,6
1021,Accord School,EMINENT COACHING CENTRE,4,3,3,4
1022,Anjali Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,4,2,5
1023,Akshara High School,MY CAREER POINT,4,1,4,5
1024,S V Defence Academy,IGNITE ACADEMY,2,1,5,3
1025,Ashwamedha Junior College & Neet Medical Academy ,JB INSTITUTE FOR COMPETITVE EXAMS,2,1,4,2
1026,Ashwamedha Junior College & Neet Medical Academy ,C L CAREER LAUNCHER,4,2,3,2
1027,Nri Academy,JB INSTITUTE FOR COMPETITVE EXAMS,2,3,1,3
1028,Anjali Junior College,ROLLER SPORTS COACHING CENTRE,3,3,3,6
1029,Academic Heights Public School - AHPS,VIGNESH COACHING CENTRE,4,2,3,1
1030,Narayana Junior College,BHARATH DEFENCE COACHING CENTRE,3,4,3,6
1031,Narayana Junior College,SRI KRISHNAVENI COACHING CENTRE,2,2,4,4
1032,Sri Chaitanya Junior College ,VIGNESH COACHING CENTRE,2,1,5,5
1033,SDHR Junior & Degree & Pg College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,2,1,5
1034,Akshara High School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,1,4,1
1035,Akshra English Medium School,IGNITE ACADEMY,3,3,1,6
1036,SDHR Junior & Degree & Pg College ,SRI KRISHNAVENI COACHING CENTRE,4,4,1,3
1037,Nri Academy,VIVEK COACHING CENTRE,3,3,3,5
1038,Academic Heights Public School - AHPS,GURU SAI COACHING CENTER,4,3,5,6
1039,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,JB INSTITUTE FOR COMPETITVE EXAMS,3,1,4,6
1040,Alpha Gamma Sigma Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,3,1,6
1041,Ashwamedha Junior College & Neet Medical Academy ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,3,1,6
1042,Arunodaya High School,SREEDHAR'S CCE,3,1,4,2
1043,Nri Academy,ACADEMY OF MATHEMATICS AND STATISTICS,2,4,1,4
1044,Narayana Junior College,SRI VISWAM COACHING CENTRE,2,3,2,5
1045,Accord School,IGNITE ACADEMY,3,1,3,4
1046,Narayana Junior College,SKILL WORLD COMPUTERS,3,1,2,4
1047,Akshara High School,POORNASAI COACHING,2,2,4,1
1048,Academic Heights Public School - AHPS,POORNASAI COACHING,4,1,3,5
1049,Ashwamedha Junior College & Neet Medical Academy ,ACADEMY OF MATHEMATICS AND STATISTICS,1,4,4,2
1050,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,Sheker'S IAS Study Circle,4,3,4,6
1051,S V Defence Academy,C L CAREER LAUNCHER,3,4,2,1
1052,S V Defence Academy,DAMS SKY,3,4,2,1
1053,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,2,4,5
1054,Ashwamedha Junior College & Neet Medical Academy ,ACADEMY OF MATHEMATICS AND STATISTICS,2,1,4,6
1055,Accord School,POORNASAI COACHING,3,2,3,1
1056,Akshara High School,NIIT,1,4,2,2
1057,Accord School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,1,3,2
1058,Narayana Junior College,BANKERS ADD,2,1,5,2
1059,SDHR Junior & Degree & Pg College ,ACADEMY OF MATHEMATICS AND STATISTICS,1,3,4,5
1060,Narayana Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,2,2,6
1061,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,IGNITE ACADEMY,4,2,3,2
1062,Accord School,SAIMEDHA GATE COACHING CENTER,3,2,1,2
1063,Sri Padmavathi Women's Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,4,5,1
1064,Narayana Junior College,POORNASAI COACHING,3,3,3,1
1065,S V Defence Academy,SHINE IAS STUDY CIRCLE,4,3,5,2
1066,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MY CAREER POINT,4,3,4,3
1067,Alpha Gamma Sigma Junior College,BHARATH DEFENCE COACHING CENTRE,4,2,1,4
1068,Alpha Gamma Sigma Junior College,NIIT,1,4,3,2
1069,Ashwamedha Junior College & Neet Medical Academy ,MY CAREER POINT,4,2,2,3
1070,Sri Padmavathi Women's Junior College ,SRI KRISHNAVENI COACHING CENTRE,1,4,1,2
1071,Sri Chaitanya Junior College ,ANALYST IAS ACADEMY,1,1,5,2
1072,S V Defence Academy,BANKERS ADD,2,4,5,3
1073,S V Defence Academy,C L CAREER LAUNCHER,3,2,4,2
1074,Alpha Gamma Sigma Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,4,1,1
1075,Narayana Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,2,3,5,2
1076,Akshara High School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,4,1,4
1077,Narayana Junior College,BANKERS ADD,1,1,3,3
1078,SDHR Junior & Degree & Pg College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,2,3,3
1079,S V Defence Academy,SKILL WORLD COMPUTERS,2,2,1,3
1080,Akshara High School,IGNITE ACADEMY,1,1,2,5
1081,Nri Academy,NIIT,3,2,1,2
1082,Anu Vocational Junior College,EMINENT COACHING CENTRE,3,2,3,2
1083,Sri Chaitanya Junior College ,CAREER LAUNCHER,2,4,5,5
1084,Academic Heights Public School - AHPS,BHARATH DEFENCE COACHING CENTRE,2,1,4,6
1085,Academic Heights Public School - AHPS,JB INSTITUTE FOR COMPETITVE EXAMS,1,1,5,2
1086,Akshara High School,TALENTSPRINT PVT. LTD,3,1,4,3
1087,Accord School,SREEDHAR'S CCE,2,4,5,1
1088,Sri Padmavathi Women's Junior College ,MY CAREER POINT,3,1,4,6
1089,Sri Chaitanya Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,2,1,3,4
1090,Ashwamedha Junior College & Neet Medical Academy ,MAHENDRA EDUCATIONAL PVT LTD,3,1,4,3
1091,Ashwamedha Junior College & Neet Medical Academy ,DAMS SKY,1,3,5,2
